Hour,Date,Room,Occupancy,ID
16,2015-11-05,B003,0.0,162015-11-05B003
9,2015-11-06,B003,0.25,92015-11-06B003
10,2015-11-06,B003,0.75,102015-11-06B003
11,2015-11-06,B003,0.25,112015-11-06B003
12,2015-11-06,B003,0.25,122015-11-06B003
13,2015-11-06,B003,0.0,132015-11-06B003
14,2015-11-06,B003,0.75,142015-11-06B003
15,2015-11-06,B003,0.75,152015-11-06B003
16,2015-11-06,B003,0.5,162015-11-06B003
9,2015-11-09,B003,0.5,92015-11-09B003
10,2015-11-09,B003,0.25,102015-11-09B003
11,2015-11-09,B003,0.5,112015-11-09B003
12,2015-11-09,B003,0.5,122015-11-09B003
13,2015-11-09,B003,0.25,132015-11-09B003
14,2015-11-09,B003,0.25,142015-11-09B003
15,2015-11-09,B003,0.25,152015-11-09B003
16,2015-11-09,B003,0.25,162015-11-09B003
9,2015-11-10,B003,0.0,92015-11-10B003
10,2015-11-10,B003,0.0,102015-11-10B003
11,2015-11-10,B003,0.5,112015-11-10B003
12,2015-11-10,B003,0.5,122015-11-10B003
13,2015-11-10,B003,0.25,132015-11-10B003
14,2015-11-10,B003,0.25,142015-11-10B003
15,2015-11-10,B003,0.25,152015-11-10B003
16,2015-11-10,B003,0.0,162015-11-10B003
9,2015-11-11,B003,0.0,92015-11-11B003
10,2015-11-11,B003,0.0,102015-11-11B003
11,2015-11-11,B003,0.75,112015-11-11B003
12,2015-11-11,B003,0.75,122015-11-11B003
13,2015-11-11,B003,0.75,132015-11-11B003
14,2015-11-11,B003,0.5,142015-11-11B003
15,2015-11-11,B003,0.25,152015-11-11B003
16,2015-11-11,B003,0.5,162015-11-11B003
9,2015-11-12,B003,0.0,92015-11-12B003
10,2015-11-12,B003,0.0,102015-11-12B003
11,2015-11-12,B003,0.25,112015-11-12B003
12,2015-11-12,B003,0.25,122015-11-12B003
13,2015-11-12,B003,0.0,132015-11-12B003
14,2015-11-12,B003,0.25,142015-11-12B003
15,2015-11-12,B003,0.25,152015-11-12B003
16,2015-11-12,B003,0.0,162015-11-12B003
9,2015-11-13,B003,0.5,92015-11-13B003
10,2015-11-13,B003,0.5,102015-11-13B003
11,2015-11-13,B003,0.25,112015-11-13B003
12,2015-11-13,B003,0.25,122015-11-13B003
13,2015-11-13,B003,0.0,132015-11-13B003
14,2015-11-13,B003,0.5,142015-11-13B003
15,2015-11-13,B003,0.25,152015-11-13B003
16,2015-11-13,B003,0.25,162015-11-13B003
9,2015-11-02,B004,0.25,92015-11-02B004
10,2015-11-02,B004,0.5,102015-11-02B004
11,2015-11-02,B004,0.25,112015-11-02B004
12,2015-11-02,B004,0.25,122015-11-02B004
13,2015-11-02,B004,0.5,132015-11-02B004
14,2015-11-02,B004,0.25,142015-11-02B004
15,2015-11-02,B004,0.0,152015-11-02B004
16,2015-11-02,B004,0.75,162015-11-02B004
9,2015-11-03,B004,0.75,92015-11-03B004
10,2015-11-03,B004,0.5,102015-11-03B004
11,2015-11-03,B004,0.5,112015-11-03B004
12,2015-11-03,B004,0.5,122015-11-03B004
13,2015-11-03,B004,0.5,132015-11-03B004
14,2015-11-03,B004,0.25,142015-11-03B004
15,2015-11-03,B004,0.25,152015-11-03B004
16,2015-11-03,B004,0.0,162015-11-03B004
9,2015-11-04,B004,0.25,92015-11-04B004
10,2015-11-04,B004,0.0,102015-11-04B004
11,2015-11-04,B004,0.25,112015-11-04B004
12,2015-11-04,B004,0.5,122015-11-04B004
13,2015-11-04,B004,0.0,132015-11-04B004
14,2015-11-04,B004,0.0,142015-11-04B004
15,2015-11-04,B004,0.0,152015-11-04B004
16,2015-11-04,B004,0.0,162015-11-04B004
9,2015-11-05,B004,1.0,92015-11-05B004
10,2015-11-05,B004,0.25,102015-11-05B004
11,2015-11-05,B004,0.25,112015-11-05B004
12,2015-11-05,B004,0.25,122015-11-05B004
13,2015-11-05,B004,0.5,132015-11-05B004
14,2015-11-05,B004,0.25,142015-11-05B004
15,2015-11-05,B004,0.0,152015-11-05B004
16,2015-11-05,B004,0.0,162015-11-05B004
9,2015-11-06,B004,0.0,92015-11-06B004
10,2015-11-06,B004,0.5,102015-11-06B004
11,2015-11-06,B004,0.25,112015-11-06B004
12,2015-11-06,B004,0.25,122015-11-06B004
13,2015-11-06,B004,0.5,132015-11-06B004
14,2015-11-06,B004,0.25,142015-11-06B004
15,2015-11-06,B004,0.0,152015-11-06B004
16,2015-11-06,B004,0.0,162015-11-06B004
