Hour,Date,Room,Room_Capacity,Module,Registered_Students,ID
11,2015-11-13,B002,90,COMP30190,29.0,112015-11-13B002
12,2015-11-13,B002,90,COMP30190,29.0,122015-11-13B002
13,2015-11-13,B002,90,COMP30170,51.0,132015-11-13B002
14,2015-11-13,B002,90,COMP30240,42.0,142015-11-13B002
15,2015-11-13,B002,90,Vacant,Vacant,152015-11-13B002
16,2015-11-13,B002,90,Vacant,Vacant,162015-11-13B002
17,2015-11-13,B002,90,Vacant,Vacant,172015-11-13B002
9,2015-11-02,B003,90,COMP20020,53,92015-11-02B003
10,2015-11-02,B003,90,COMP20020,53,102015-11-02B003
11,2015-11-02,B003,90,COMP30010,45,112015-11-02B003
12,2015-11-02,B003,90,COMP30010,45,122015-11-02B003
13,2015-11-02,B003,90,Vacant,Vacant,132015-11-02B003
14,2015-11-02,B003,90,COMP30010,33,142015-11-02B003
15,2015-11-02,B003,90,COMP30010,33,152015-11-02B003
16,2015-11-02,B003,90,COMP30060,35,162015-11-02B003
17,2015-11-02,B003,90,COMP30060,35,172015-11-02B003
9,2015-11-03,B003,90,Vacant,Vacant,92015-11-03B003
10,2015-11-03,B003,90,Vacant,Vacant,102015-11-03B003
11,2015-11-03,B003,90,COMP10280,56.0,112015-11-03B003
12,2015-11-03,B003,90,Vacant,Vacant,122015-11-03B003
13,2015-11-03,B003,90,Career opportunities talks,,132015-11-03B003
14,2015-11-03,B003,90,Vacant,Vacant,142015-11-03B003
15,2015-11-03,B003,90,Vacant,Vacant,152015-11-03B003
16,2015-11-03,B003,90,Vacant,Vacant,162015-11-03B003
17,2015-11-03,B003,90,Vacant,Vacant,172015-11-03B003
9,2015-11-04,B003,90,COMP47300 (Lecture),0.0,92015-11-04B003
10,2015-11-04,B003,90,COMP47300 (Practical),0.0,102015-11-04B003
11,2015-11-04,B003,90,COMP47300 (Practical),0.0,112015-11-04B003
12,2015-11-04,B003,90,COMP30080,73.0,122015-11-04B003
13,2015-11-04,B003,90,COMP30080,73.0,132015-11-04B003
14,2015-11-04,B003,90,COMP47300,0.0,142015-11-04B003
15,2015-11-04,B003,90,COMP47300,0.0,152015-11-04B003
16,2015-11-04,B003,90,Vacant,Vacant,162015-11-04B003
17,2015-11-04,B003,90,Vacant,Vacant,172015-11-04B003
9,2015-11-05,B003,90,COMP30060,42.0,92015-11-05B003
10,2015-11-05,B003,90,Vacant,Vacant,102015-11-05B003
11,2015-11-05,B003,90,Vacant,Vacant,112015-11-05B003
12,2015-11-05,B003,90,COMP10280,56.0,122015-11-05B003
13,2015-11-05,B003,90,Career opportunities talks,,132015-11-05B003
14,2015-11-05,B003,90,COMP47300,0.0,142015-11-05B003
15,2015-11-05,B003,90,COMP47290,0.0,152015-11-05B003
16,2015-11-05,B003,90,COMP47290,0.0,162015-11-05B003
17,2015-11-05,B003,90,COMP47290,0.0,172015-11-05B003
9,2015-11-06,B003,90,COMP20020,45.0,92015-11-06B003
10,2015-11-06,B003,90,COMP20020,45.0,102015-11-06B003
11,2015-11-06,B003,90,COMP47290,0.0,112015-11-06B003
12,2015-11-06,B003,90,COMP47290,0.0,122015-11-06B003
13,2015-11-06,B003,90,Vacant,Vacant,132015-11-06B003
14,2015-11-06,B003,90,COMP30080,65.0,142015-11-06B003
15,2015-11-06,B003,90,COMP30080,65.0,152015-11-06B003
16,2015-11-06,B003,90,Vacant,Vacant,162015-11-06B003
17,2015-11-06,B003,90,Vacant,Vacant,172015-11-06B003
9,2015-11-09,B003,90,COMP20020,53,92015-11-09B003
10,2015-11-09,B003,90,COMP20020,53,102015-11-09B003
11,2015-11-09,B003,90,COMP30010,45,112015-11-09B003
12,2015-11-09,B003,90,COMP30010,45,122015-11-09B003
13,2015-11-09,B003,90,Vacant,Vacant,132015-11-09B003
14,2015-11-09,B003,90,COMP30010,33,142015-11-09B003
15,2015-11-09,B003,90,COMP30010,33,152015-11-09B003
16,2015-11-09,B003,90,COMP30060,35,162015-11-09B003
17,2015-11-09,B003,90,COMP30060,35,172015-11-09B003
9,2015-11-10,B003,90,Vacant,Vacant,92015-11-10B003
10,2015-11-10,B003,90,Vacant,Vacant,102015-11-10B003
11,2015-11-10,B003,90,COMP10280,56.0,112015-11-10B003
12,2015-11-10,B003,90,Vacant,Vacant,122015-11-10B003
13,2015-11-10,B003,90,Career opportunities talks,,132015-11-10B003
14,2015-11-10,B003,90,Vacant,Vacant,142015-11-10B003
15,2015-11-10,B003,90,Vacant,Vacant,152015-11-10B003
16,2015-11-10,B003,90,Vacant,Vacant,162015-11-10B003
17,2015-11-10,B003,90,Vacant,Vacant,172015-11-10B003
9,2015-11-11,B003,90,COMP47300 (Lecture),0.0,92015-11-11B003
10,2015-11-11,B003,90,COMP47300 (Practical),0.0,102015-11-11B003
11,2015-11-11,B003,90,COMP47300 (Practical),0.0,112015-11-11B003
12,2015-11-11,B003,90,COMP30080,73.0,122015-11-11B003
13,2015-11-11,B003,90,COMP30080,73.0,132015-11-11B003
14,2015-11-11,B003,90,COMP47300,0.0,142015-11-11B003
15,2015-11-11,B003,90,COMP47300,0.0,152015-11-11B003
16,2015-11-11,B003,90,Vacant,Vacant,162015-11-11B003
17,2015-11-11,B003,90,Vacant,Vacant,172015-11-11B003
9,2015-11-12,B003,90,COMP30060,42.0,92015-11-12B003
10,2015-11-12,B003,90,Vacant,Vacant,102015-11-12B003
11,2015-11-12,B003,90,Vacant,Vacant,112015-11-12B003
12,2015-11-12,B003,90,COMP10280,56.0,122015-11-12B003
13,2015-11-12,B003,90,Career opportunities talks,,132015-11-12B003
14,2015-11-12,B003,90,COMP47300,0.0,142015-11-12B003
15,2015-11-12,B003,90,COMP47290,0.0,152015-11-12B003
16,2015-11-12,B003,90,COMP47290,0.0,162015-11-12B003
17,2015-11-12,B003,90,COMP47290,0.0,172015-11-12B003
9,2015-11-13,B003,90,COMP20020,45.0,92015-11-13B003
10,2015-11-13,B003,90,COMP20020,45.0,102015-11-13B003
