Belfield > Computer Science > B-003,Sat Nov 07 19:33:27 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 07 19:38:28 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 07 19:43:30 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 07 19:48:30 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 07 19:53:30 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 07 19:58:30 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 07 20:03:32 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 07 20:08:31 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 07 20:13:34 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 07 20:18:34 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 07 20:23:34 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 07 20:28:36 GMT+00:00 2015,0,0
