Room,Module,Date,Time
CSB0.04,COMP10110,2015-11-12 00:00:00,13:00 - 14:00
CSB0.04,ENVB30110,2015-11-12 00:00:00,14:00 - 15:00
CSB0.04,Vacant,2015-11-12 00:00:00,15:00 - 16:00
CSB0.04,COMP20010,2015-11-12 00:00:00,16:00 - 17:00
CSB0.04,Vacant,2015-11-12 00:00:00,17:00 - 18:00
CSB0.04,Vacant,2015-11-13 00:00:00,9:00 - 10:00
CSB0.04,MATH10200,2015-11-13 00:00:00,10:00 - 11:00
CSB0.04,COMP30070,2015-11-13 00:00:00,11:00 - 12:00
CSB0.04,Vacant,2015-11-13 00:00:00,12:00 - 13:00
CSB0.04,COMP20110,2015-11-13 00:00:00,13:00 - 14:00
CSB0.04,COMP10110,2015-11-13 00:00:00,14:00 - 15:00
CSB0.04,COMP30220,2015-11-13 00:00:00,15:00 - 16:00
CSB0.04,Vacant,2015-11-13 00:00:00,16:00 - 17:00
CSB0.04,Vacant,2015-11-13 00:00:00,17:00 - 18:00
