Belfield > Computer Science > B-002,Thu Nov 12 16:32:16 GMT+00:00 2015,46,46
Belfield > Computer Science > B-002,Thu Nov 12 16:37:19 GMT+00:00 2015,45,44
Belfield > Computer Science > B-002,Thu Nov 12 16:42:25 GMT+00:00 2015,42,42
Belfield > Computer Science > B-002,Thu Nov 12 16:47:38 GMT+00:00 2015,40,40
Belfield > Computer Science > B-002,Thu Nov 12 16:52:45 GMT+00:00 2015,41,40
Belfield > Computer Science > B-002,Thu Nov 12 16:57:53 GMT+00:00 2015,41,41
Belfield > Computer Science > B-002,Thu Nov 12 17:03:12 GMT+00:00 2015,37,37
Belfield > Computer Science > B-002,Thu Nov 12 17:08:17 GMT+00:00 2015,38,38
Belfield > Computer Science > B-002,Thu Nov 12 17:13:05 GMT+00:00 2015,32,32
Belfield > Computer Science > B-002,Thu Nov 12 17:17:52 GMT+00:00 2015,24,24
Belfield > Computer Science > B-002,Thu Nov 12 17:22:53 GMT+00:00 2015,14,14
Belfield > Computer Science > B-002,Thu Nov 12 17:27:59 GMT+00:00 2015,12,12
